TMI,BARRIO,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,CODIGO_POSTAL,CODIGO_POSTAL_ARG,LAT,LONG
1286,NUEVA POMPEYA,QUILMES 436,QUILMES,436,NUEVA POMPEYA,COMUNA 4,1437,C1437DLJ,-34.6446105836205,-58.4173158880493
1318,SAN NICOLAS,VIAMONTE 808,VIAMONTE,808,SAN NICOLAS,COMUNA 1,1053,C1053ABR,-34.6001142779248,-58.3783858841538
1314,RECOLETA,AV. SANTA FE 1748,SANTA FE AV.,1748,RECOLETA,COMUNA 2,1060,C1060ABQ,-34.5959278522056,-58.3925838417798
1291,PARQUE PATRICIOS,AV. CASEROS 2526,CASEROS AV.,2526,PARQUE PATRICIOS,COMUNA 4,1264,C1264AAS,-34.6357733741614,-58.3977958221768
1304,BALVANERA,CORRIENTES 2937,CORRIENTES AV.,2937,BALVANERA,COMUNA 3,1193,C1193AAB,-34.6042631520761,-58.4070874106169
1305,ALMAGRO,AV. RIVADAVIA 3883,RIVADAVIA AV.,3883,ALMAGRO,COMUNA 5,1204,C1204AAD,-34.6113105837937,-58.4207761759195
1315,CABALLITO,AV. JOSE MARAA MORENO 121,"MORENO, JOSE MARIA AV.",121,CABALLITO,COMUNA 6,1424,C1424AAB,-34.6197221655356,-58.435840434097
1316,FLORES,AV. SAN PEDRITO 60,SAN PEDRITO AV.,60,FLORES,COMUNA 7,1406,C1406EXN,-34.6314961291225,-58.4691693075662
1292,PARQUE AVELLANEDA,REMEDIOS 3761,REMEDIOS,3761,PARQUE AVELLANEDA,COMUNA 9,1407,C1407HJI,-34.6413974782064,-58.4766553939507
1282,MATADEROS,AV. EVA PERON 5251,"PERON, EVA AV.",5251,MATADEROS,COMUNA 9,1439,C1439BSD,-34.6598326342155,-58.4819912008332
1284,VELEZ SARSFIELD,AV. SEGUROLA 726,SEGUROLA AV.,726,VELEZ SARSFIELD,COMUNA 10,1407,C1407ANN,-34.6282559298855,-58.4896025528124
1313,PALERMO,AV. SANTA FE 3259,SANTA FE AV.,3259,PALERMO,COMUNA 14,1425,C1425BGH,-34.58829438977,-58.4110473237169
1289,BELGRANO,AV. JURAMENTO 2427,JURAMENTO AV.,2427,BELGRANO,COMUNA 13,1428,C1428DNO,-34.5622267823179,-58.4570958567666
1295,VILLA URQUIZA,CONGRESO 4364,CONGRESO AV.,4364,VILLA URQUIZA,COMUNA 12,1430,C1430BAH,-34.5657415895867,-58.4823335479065
1296,VILLA DEVOTO,AV. FRANCISCO BEIRO 3994,"BEIRO, FRANCISCO AV.",3994,VILLA DEVOTO,COMUNA 11,1419,C1419HZO,-34.6036376769061,-58.5080983815965
1283,LINIERS,LISANDRO DE LA TORRE 39,"DE LA TORRE, LISANDRO",39,LINIERS,COMUNA 9,1408,C1408GTA,-34.6393806549763,-58.5212734084432
